Song,Artist,State,Lat,Long,Song_Release_Year,Song_Release_Month
"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)","['Spillage Village', 'EARTHGANG', 'JID', 'Jurdan Bryant', 'Mereba', 'Hollywood JB']",Georgia,33.0,-83.0,2020,September
Shiva (with JID & EARTHGANG feat. Benji. & Jurdan Bryant),"['Spillage Village', 'JID', 'EARTHGANG', 'Benji.', 'Jurdan Bryant']",Georgia,32.0,-83.0,'2020','August'
Oshun (with EARTHGANG & 6LACK feat. Jurdan Bryant),"['Spillage Village', 'EARTHGANG', '6LACK', 'Jurdan Bryant']",New York,40.0,-74.0,'2020','February'
LAUDER,['JID'],New York,40.0,-74.0,2020,April
Somebody,['JID'],Georgia,33.0,83.0,2019,February
8701,"['JID', '6LACK']",Florida,28.0,81.0,2015,May
All Bad,"['JID', 'Mereba']",Georgia,33.0,83.0,2020,August
Hereditary,['JID'],Illinois,42.0,88.0,2018,March
EdEddnEddy,['JID'],Illinois,41.0,87.0,2019,July
NEVER,['JID'],Georgia,33.0,-83.0,2019,September
Tribe (with J. Cole),"['Bas', 'J. Cole']",New York,41.0,-74.0,2016,January
Ric Flair Drip (with Metro Boomin),"['Offset', 'Metro Boomin']",Georgia,33.0,83.0,2017,October
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"['Metro Boomin', 'Travis Scott', '21 Savage']",Georgia,33.0,-83.0,2019,December
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",Georgia,0,0,N/A,N/A
On Time (with John Legend),"['Metro Boomin', 'John Legend']",Georgia,33.0,84.0,2018,November
Suede,"['NxWorries', 'Anderson .Paak', 'Knxwledge']",England,53.0,-1.0,2015,October
Come Home (feat. André 3000),"['Anderson .Paak', 'André 3000']",California,35.0,-119.0,2018,October
Old Pine,['Ben Howard'],England,-52.355,-1.174,2011,November
Kilby Girl,['The Backseat Lovers'],Utah,40.0,-111.0,2020,September
The Way You Move (feat. Sleepy Brown),"['Outkast', 'Sleepy Brown']",Georgia,33.0,-84.0,2003,September
Big Pimpin',"['JAY-Z', 'UGK']",New York,40.0,-73.0,2000,April
Mission to Mars,['Rainbow Kitten Surprise'],North Carolina,35.0,79.0,2013,August
People Say,['Portugal. The Man'],Portugal,45.0,9.0,2017,July
Too Late,['The Happy Fits'],New Jersey,40.0,-74.0,2021,June
Sweet Yamz,['Fetty Wap'],New Jersey,39.0,74.0,2014,August
Slow Jamz,"['Twista', 'Kanye West', 'Jamie Foxx']",'Illinois',0,0,N/A,N/A
Bound 2,['Kanye West'],Illinois,41.0,-87.0,2013,September
ORANGE SODA,['Baby Keem'],California,33.835,-118.34,2019,October
Cherry Wine,"['Nas', 'Amy Winehouse']",New York,-40.0,73.0,2012,April
Easy,['Commodores'],Alabama,32.0,86.0,1977,March
Kush,['Lil Wayne'],Louisiana,-29.951065,-90.071533,2009,January
SLOW DANCING IN THE DARK,['Joji'],Japan,35.0,139.0,2018,September
Stella Brown,['Jelani Aryeh'],California,36.0,119.0,2020,February
Claymore (feat. Smino),"['Isaiah Rashad', 'Smino']",Tennessee,36.0,-86.0,2021,September
Closer,"['HONÜ', 'David Tam', 'Devyn Sawyer']",Austria,47.0,14.0,2020,July
スカイレストラン,['Hi-Fi Set'],Japan,35.0,138.0,1990,January
Mr. Blue Sky,['Electric Light Orchestra'],England,51.5074,-0.1278,1977,May
Phone Numbers,"['Dominic Fike', 'Kenny Beats']",Florida,28.0,81.0,2018,July
CYANIDE,['Daniel Caesar'],Canada,47.0,84.0,2020,July
Black and White,['Rainbow Kitten Surprise'],North Carolina,35.0,80.0,2015,June
American Hero,['Rainbow Kitten Surprise'],North Carolina,35.0,-80.0,2015,May
Devil Like Me,['Rainbow Kitten Surprise'],North Carolina,35.0,-80.0,2014,November
Mystery Lady,"['Masego', 'Don Toliver']",Maryland,-77.0,39.0,2020,August
Make It Better (feat. Smokey Robinson),"['Anderson .Paak', 'Smokey Robinson']",California,34.0,118.0,2019,April
The Bird,['Anderson .Paak'],California,33.0,-118.0,2018,August
Check Out Time,['2Pac'],California,0,0,N/A,N/A
I'm Not In Love,['10cc'],England,51.0,-0.0,1975,June
Cigarette Daydreams,['Cage The Elephant'],Kentucky,38.0,85.0,2013,December
It's Called: Freefall,['Rainbow Kitten Surprise'],North Carolina,-36.0,-79.0,2018,June
Cocaine Jesus,['Rainbow Kitten Surprise'],North Carolina,35.0,79.0,2013,July
Goodnight Chicago,['Rainbow Kitten Surprise'],North Carolina,35.0,-80.0,2013,July
Lady Lie,['Rainbow Kitten Surprise'],North Carolina,35.0,-80.0,2018,May
Cold Love,['Rainbow Kitten Surprise'],North Carolina,35.0,-80.0,2018,May
YOU GON' LEARN SOME JAZZ TODAY,['Masego'],"""Virginia""",0,0,N/A,N/A
Folgers Crystals,"['J. Cole', 'Dreamville']",North Carolina,35.0,80.0,2016,November
What About Me (feat. Sosamann),"['Lil Wayne', 'Sosamann']",Louisiana,29.0,-91.0,2018,December
Pudgy (with Lil Uzi Vert),"['Smino', 'Lil Uzi Vert']",'country/state',0,0,N/A,N/A
Foreplay,['Jalen Santoy'],North Carolina,35.0,-80.0,2016,April
Who You Foolin,['Gunna'],Georgia,33.0,84.0,2018,August
Buttons,['Mac Miller'],Pennsylvania,40.0,-77.0,2011,September
Ironic,['Alanis Morissette'],Canada,56.0,106.0,1996,February
everybody dies,['J. Cole'],North Carolina,35.0,-80.0,2016,December
"Judas (with JID & Ari Lennox feat. Chance The Rapper, Buddy & Masego)","['Spillage Village', 'JID', 'Ari Lennox', 'Chance the Rapper', 'Buddy', 'Masego']",Georgia,33.0,-84.0,2020,September
Mecca (with JID & EARTHGANG),"['Spillage Village', 'JID', 'EARTHGANG']",Georgia,33.0,83.0,2020,September
Ea'alah (Family) (with JID & EARTHGANG feat. Hollywood JB),"['Spillage Village', 'JID', 'EARTHGANG', 'Hollywood JB']",Georgia,33.0,-83.0,2020,September
PsalmSing (with Mereba),"['Spillage Village', 'Mereba']",Georgia,33.0,-84.0,2020,September
Hot Box (feat. Method Man & Joey Bada$$),"['JID', 'Method Man', 'Joey Bada$$']",Georgia,33.0,-83.0,2018,April
Tiiied (feat. 6LACK & Ella Mai),"['JID', '6LACK', 'Ella Mai']",Georgia,0,0,N/A,N/A
Workin Out,['JID'],Georgia,33.0,84.0,2017,October
151 Rum,['JID'],North Carolina,35.0,-80.0,2018.,July
Slick Talk,['JID'],Georgia,0,0,N/A,N/A
Money,['Pink Floyd'],England,51.0,-0.0,1973,May
Die Young (feat. 347aidan),"['Sleepy Hallow', '347aidan']",New York,40.7128,74.006,2020,'July'
FOR FUN,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2015,September
"String Quartet No. 1 in C Minor, Op. 9: II. Adagio","['Max Bruch', 'Mannheim String Quartet']",Germany,51.0,9.0,year,month
THE LOOP,['Marlon Craft'],New York,40.0,74.0,2019,March
2007,['JID'],Maryland,38.0,-77.0,2017,'January'
What More Can I Say,"['NxWorries', 'Anderson .Paak', 'Knxwledge']",California,34.0,-118.0,2015,October
Ole Ass Kendrick,['Smino'],Missouri,38.0,92.0,2017,August
Tidal Wave - just a little reference,['kiLL edward'],North Carolina,35.0,-80.0,2018,April
Everybody,['Mac Miller'],Pennsylvania,-40.8064,-77.5821,2011,August
Defibrillator,['Smino'],Illinois,40.0,-89.0,2019,October
Rich Spirit,['Kendrick Lamar'],California,33.0,-118.0,2012,April
Land Of The Snakes,['J. Cole'],North Carolina,36.0,-79.0,2013,January
pg baby - Remix,"['redveil', 'Denzel Curry']",Illinois,41.0,-88.0,2021,July
Selfish,"['Slum Village', 'John Legend', 'Kanye West']",Michigan,42.0,-83.0,2002,September
Cocoa Butter Kisses,"['Chance the Rapper', 'VIC MENSA', 'Twista']",Illinois,42.0,88.0,2013,April
Let The Beat Build,['Lil Wayne'],Louisiana,30.0,-91.0,2008,September
I'll Be,['Edwin McCain'],South Carolina,31.0,-81.0,1998,March
Tennessee Whiskey,['Chris Stapleton'],Tennessee,36.0,-86.0,2015,January
Off The Knob,['Marlon Craft'],New York,40.0,-74.0,2019,July
Somethin Wrong In Heaven,['Marlon Craft'],New York,40.0,-74.0,2021,March
6 Five Heartbeats (feat. Vince Staples),"['The Alchemist', 'Vince Staples']",California,38.0,-121.0,2020,May
L.M.F.,['Smino'],Missouri,38.0,-92.0,2019,September
Wild Irish Roses,['Smino'],Illinois,39.0,-89.0,2016,August
500 Benz,['Joey Bada$$'],New York,40.0,-74.0,2017,August
Who Could Ask for More?,['Son of Cloud'],North Carolina,35.0,-80.0,2021,September
Feel The Need,['Eryn Allen Kane'],Illinois,41.0,-87.0,2019,November
"Sonata For Violin And Piano No. 9 In A, Op. 47 - ""Kreutzer"": 3. Finale (Presto)","['Ludwig van Beethoven', 'Itzhak Perlman', 'Vladimir Ashkenazy']",Germany,51.1657,10.4515,1803,January
"Sonata For Violin And Piano No. 9 In A, Op. 47 - ""Kreutzer"": 2. Andante con variazioni","['Ludwig van Beethoven', 'Itzhak Perlman', 'Vladimir Ashkenazy']",Germany,51.0,9.0,1805,January
"Violin Sonata No. 4 in A Minor, Op. 23: 2. Andante scherzoso, più allegretto","['Ludwig van Beethoven', 'Itzhak Perlman', 'Vladimir Ashkenazy']",Germany,51.0,9.0,1801,October
"Sonata For Violin And Piano No. 9 In A, Op. 47 - ""Kreutzer"": 1. Adagio sostenuto - Presto","['Ludwig van Beethoven', 'Itzhak Perlman', 'Vladimir Ashkenazy']",Germany,50.0,10.0,1803,January
94 Camry Music,['femdot.'],Illinois,41.0,89.0,2021,November
Rap City,"['femdot.', 'Smino']",Illinios,42.0,88.0,2018,June
Carefree (with Femdot & Mick Jenkins),"['KingTrey', 'Mick Jenkins', 'femdot.']",Illinois,41.0,89.0,2021,May
Deja Vu,['J. Cole'],North Carolina,36.0,-79.0,2017,April
Me On You,['Muscadine Bloodline'],Alabama,32.0,-86.0,2018,August
Worst Comes To Worst - Cold Blooded Soul Version,['Denzel Curry'],Florida,30.0,-84.0,2021,August
X-Wing - Cold Blooded Soul Version,['Denzel Curry'],Florida,27.0,81.0,2021,September
Troubles - Cold Blooded Soul Version,['Denzel Curry'],Florida,28.0,81.0,2019,April
90 Proof (with J. Cole),"['Smino', 'J. Cole']",Missouri,38.0,-92.0,2022,April
SMUCKERS (feat. Lil Wayne & Kanye West),"['Tyler, The Creator', 'Lil Wayne', 'Kanye West']",California,37.0,-120.0,2015,June
something more,['j ember'],California,36.7783,-119.4179,2020,March
Good Nights (feat. Mascolo),"['Whethan', 'Mascolo']",Illinois,41.0,-87.0,2017,August
Walk On the Wild Side,['Lou Reed'],New York,40.0,-74.0,1972,November
I Don't Know How To Love,['The Drums'],New York,40.0,73.0,2014,April
Around The Sun,"['Poolside', 'Amo Amo']",California,36.0,-119.0,2017,October
Gimme Shelter,['The Rolling Stones'],United Kingdom,51.0,-0.0,1969,December
All Day All Night,['Moon Taxi'],Tennessee,36.0,-86.0,2015,May
Helena Beat,['Foster The People'],California,37.0,-120.0,2011,June
OUTTA MY MIND,['Monsune'],Canada,43.0,-79.0,2020,March
Don't Give Up,['Gunna'],Georgia,34.0,83.0,2018,March
Diamond,['Magic City Hippies'],Florida,27.0,81.0,2015,February
This Side of Paradise,['JR JR'],Michigan,0,0,N/A,N/A
D'evils,['JAY-Z'],New York,40.0,-74.0,1996,March
Some,['Steve Lacy'],California,38.0,-120.0,2017,April
I Know What You Want (feat. Flipmode Squad),"['Busta Rhymes', 'Mariah Carey', 'Flipmode Squad']",New York,41.0,-74.0,2002,December
"Rito Village (From ""The Legend of Zelda: Breath of the Wild"") [Cover]",['Masters of Sound'],Japan,36.0,138.0,2017,December
"Main Theme (From ""The Legend of Zelda: Breath of the Wild"") [Cover]",['Masters of Sound'],Japan,35.0,138.0,2017,March
"Stables (From ""The Legend of Zelda: Breath of the Wild"") [Cover]",['Masters of Sound'],England,51.0,-0.0,2017,February
"Urbosa's Theme (From ""The Legend of Zelda: Breath of the Wild"") [Cover]",['Masters of Sound'],Greece,37.9838,23.7275,2020,March
"Kakariko Village (From ""The Legend of Zelda: Breath of the Wild"") [Cover]",['Masters of Sound'],Japan,35.0,138.0,2017,March
"Riding (Day) [From ""The Legend of Zelda: Breath of the Wild""] [Cover]",['Masters of Sound'],Japan,35.0,138.0,2018,February
4:44,['JAY-Z'],New York,40.7128,-74.006,2017,June
Bam,"['JAY-Z', 'Damian Marley']",New York,40.0,-74.0,2017,April
Caught Their Eyes,"['JAY-Z', 'Frank Ocean']",New York,41.0,-74.0,2017,August
Smile,"['JAY-Z', 'Gloria Carter']",New York,40.0,73.0,2009,September
Shining Star,"['Earth, Wind & Fire']",California,35.0,119.0,1975,January
How To Love,['Lil Wayne'],Louisiana,30.0,-91.0,2011,June
WTF!,['SXMPRA'],Portugal,38.0,-9.0,2021,March
500 Degrees,"['Tyga', 'Lil Wayne']",California,36.0,-119.0,2013,November
One Mo'Gin,"[""D'Angelo""]",Virginia,38.0,-77.0,2000,January
Seeing Green (with Drake & Lil Wayne),"['Nicki Minaj', 'Drake', 'Lil Wayne']",Trinidad and Tobago,11.0,-61.0,2021,May
Nat King Cole (Unlocked) (feat. Lil Wayne),"['Alicia Keys', 'Lil Wayne']",California,38.0,-121.0,2021,September
Believe Me,"['Lil Wayne', 'Drake']",Louisiana,30.0,-91.0,2014,May
Me and My Guitar,['A Boogie Wit da Hoodie'],New York,40.0,-74.0,2020,June
Free Mind,['Tems'],Nigeria,7.0,8.0,2021,October
Session 32,['Summer Walker'],Georgia,33.0,-83.0,2019,September
Dance Now (feat. Kenny Mason),"['JID', 'Kenny Mason']",Georgia,33.0,84.0,2021,October
YAH.,['Kendrick Lamar'],California,34.0,-118.0,2017,March
Troubles [Feat. T-Pain],"['Denzel Curry', 'T-Pain']",Florida,25.0,81.0,2018,May
ATLiens,['Outkast'],Georgia,33.0,84.0,1996,August
Jazzy Belle,['Outkast'],Georgia,33.0,84.0,1996,August
Paper Trail$,['Joey Bada$$'],New York,40.0,-74.0,2012,April
Third Eye Sh*t,"['Joey Bada$$', 'PRO ERA', 'Capital Steez', 'CJ Fly', 'Chuck Strangers', 'Dyemond Lewis', 'Nyck Caution', 'Kirk Knight', 'Rokamouth', ""T'nah Apex"", 'Dessy Hinds']",New York,40.7128,-74.006,2013,January
Coupe Dreams,['Coast Contra'],California,38.0,-120.0,2021,May
Dance with Me,"['CORBAL', 'Shiloh Dynasty', 'itssvd']",Nigeria,9.082,8.6753,2022,March
Ex Bitch,['XXXTENTACION'],Florida,27.0,-81.0,'2018','August'
Depression & Obsession,['XXXTENTACION'],Florida,25.0,81.0,2017,March
Bam Bam,['Sister Nancy'],Jamaica,18.0,77.0,1982,May
changes,['XXXTENTACION'],Florida,27.0,81.0,2018,March
Atrévete-Te-Te,['Calle 13'],Puerto Rico,18.0,66.0,2005,July
The Blacker The Berry,['Kendrick Lamar'],California,34.0,-118.0,2015,February
Rusty (feat. Domo Genesis & Earl Sweatshirt),"['Tyler, The Creator', 'Domo Genesis', 'Earl Sweatshirt']",California,34.0,-118.0,2015,April
Earth,"['Mac Miller', 'Future']",Pennsylvania,40.8966,-77.839,2010,July
infinity (888) - feat. Joey Bada$$,"['XXXTENTACION', 'Joey Bada$$']",Florida,27.0,81.0,2018,February
DIP! (feat. DavidTheTragic),"['Kenny Mason', 'DavidTheTragic']",Georgia,33.0,83.0,2021,September
1995,['CoryaYo'],Texas,30.0,-97.0,1995,September
Fountains (with Tems),"['Drake', 'Tems']",Ontario,43.0,-79.0,2021,January
Still Slummin',"['Lute', 'Dreamville']",North Carolina,34.0,-79.0,2017,September
Goldie,['A$AP Rocky'],England,51.5074,-0.1278,2013,June
Eventually,['Tame Impala'],Australia,-29.0,135.0,2015,April
Why iii Love The Moon.,['Phony Ppl'],New York,40.0,-73.0,2015,September
Three Cuts (feat. Maino),"['Jim Jones', 'Harry Fraud', 'Maino']",New York,40.7128,74.006,2021,September
Mahogany,['Lil Wayne'],Louisiana,30.0,91.0,2010,October
Let It All Work Out,['Lil Wayne'],Louisiana,29.0,91.0,2018,September
M'$ (feat. Lil Wayne),"['A$AP Rocky', 'Lil Wayne']",New York,40.0,-74.0,2012,October
Knock Tha Hustle - Remix,"['Cozz', 'J. Cole']",California,37.0,-120.0,2014,November
Iris,['The Goo Goo Dolls'],New York,40.0,74.0,1998,July
Behind Barz - Bonus,['Drake'],Canada,56.0,106.0,2018,July
Trilla (feat. A$AP Nast & A$AP Twelvyy),"['A$AP Rocky', 'A$AP NAST', 'A$AP Twelvyy']",New York,40.7128,-74.006,2012,October
The Color Violet,['Tory Lanez'],Canada,54.0,95.0,2015,June
PERSIAN RUGS,['PARTYNEXTDOOR'],Canada,43.0,-79.0,2014,June
Break from Toronto,['PARTYNEXTDOOR'],Canada,43.0,79.0,2013,July
M.P.A.,"['Pusha T', 'Kanye West', 'A$AP Rocky', 'The-Dream']",Virginia,37.0,80.0,2015,July
Brothers,"['Kid Cudi', 'King Chip', 'A$AP Rocky']",Ohio,41.0,-81.0,2009,March
Canal St. (feat. Bones),"['A$AP Rocky', 'BONES']",New York,40.0,-74.0,2015,September
Sparkle Tape Break Up,['Hiatus Kaiyote'],Australia,-25.0,135.0,2018,December
Yeah - bonus,['Mac Miller'],Pennsylvania,40.0,-77.0,2015,July
Neighbors,['J. Cole'],North Carolina,35.0,-80.0,2016,February
Ville Mentality,['J. Cole'],North Carolina,36.0,-79.0,2016,January
Bitch Better Have My Money,['Rihanna'],Barbados,13.1939,59.5432,2015,March
WATERBOYZ (with JID & J. Cole),"['EARTHGANG', 'JID', 'J. Cole']",North Carolina,35.0,-79.0,2021,July
I Gotta Find Peace of Mind - Live,['Ms. Lauryn Hill'],New Jersey,40.0,74.0,2002,June
THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",Scotland,56.0,-4.0,2020,April
Dangerous,"['Kardinal Offishall', 'Akon']",Canada,45.0,75.0,2008,January
"Lakers (feat. Ab-Soul, Polyester the Saint)","['Freddie Gibbs', 'Madlib', 'Ab-Soul', 'Polyester the Saint']",California,34.0,-118.0,2021,June
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),"['Dreamville', 'EARTHGANG', 'J. Cole', 'Smino', 'Saba']",'North Carolina',0,0,N/A,N/A
Power Trip (feat. Miguel),"['J. Cole', 'Miguel']",North Carolina,35.0,-80.0,2013,February
Apparently,['J. Cole'],North Carolina,35.0,-80.0,2011,"""February"""
No Role Modelz,['J. Cole'],North Carolina,35.0,80.0,2014,January
A Tale Of 2 Citiez,['J. Cole'],North Carolina,35.0,-80.0,2014,January
Wet Dreamz,['J. Cole'],North Carolina,35.0,-80.0,2014,April
Hardknock,"['Joey Bada$$', 'CJ Fly']",New York,40.7128,-74.006,2012,September
L$D,['A$AP Rocky'],New York,40.0,74.0,2015,May
I'm So Paid,"['Akon', 'Lil Wayne', 'Jeezy']",Senegal,14.0,14.0,2008,October
Saint Pablo,['Kanye West'],Illinois,41.0,-87.0,'2016','September'
Thru My Hair,['¿Téo?'],Canada,46.0,-75.0,2020,August
Grown Up,['Danny Brown'],Michigan,42.0,-83.0,2013,August
My Lady,"['Coast Contra', 'Kateel']",California,36.0,-119.0,2021,October
Novacane,['Frank Ocean'],California,33.0,-118.0,2011,July
Heart Of The City (Ain't No Love),['JAY-Z'],New York,40.0,-74.0,2001,September
D.O.A. (Death Of Auto-Tune),['JAY-Z'],New York,40.0,-74.0,2009,June
Run This Town,"['JAY-Z', 'Rihanna', 'Kanye West']",New York,40.7128,-74.006,2009,September
Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",New York,40.0,-74.0,2009,September
Already Home,"['JAY-Z', 'Kid Cudi']",New York,40.7128,-74.006,2009,September
Relax,"['Rejjie Snow', ""Cam O'bi"", 'grouptherapy.']",Ireland,53.0,8.0,2018,August
Home,['Phillip Phillips'],Georgia,33.2479,-83.4417,2012,July
Now Or Never - Bonus Track,"['Kendrick Lamar', 'Mary J. Blige']",California,34.0,-118.0,2012,August
4 Page Letter,['Aaliyah'],New York,40.0,-73.0,1997,August
Day ‘n’ Nite,['Kid Cudi'],Ohio,0,0,N/A,N/A
The Prayer,['Kid Cudi'],Ohio,39.0,-82.0,2008,'February'
Is There Any Love,"['Kid Cudi', 'Wale']",Ohio,41.0,-82.0,2009,March
"Because (feat. Joey Bada$$, Russ, and Dylan Cartlidge)","['Danger Mouse', 'Black Thought', 'Russ', 'Dylan Cartlidge', 'Joey Bada$$']",New York,40.0,-74.0,'2020','November'
Look Over Your Shoulder (feat. Kendrick Lamar),"['Busta Rhymes', 'Kendrick Lamar']",New York,40.0,-73.0,2020,October
"Love, of Money",['MAVI'],North Carolina,37.0,79.0,2021,April
Inside Outside,['Mac Miller'],Pennsylvania,40.9946,-77.6046,2016,'March'
1985,"['Freddie Gibbs', 'The Alchemist']",Indiana,39.0,-86.0,2015,June
love.,['Kid Cudi'],Ohio,41.2033,-77.1945,2021,January
Righteous Minds,['Joey Bada$$'],New York,40.0,73.0,2015,July
Riot!,['Earl Sweatshirt'],California,33.0,-118.0,2018,December
The Boat I Row,['Tame Impala'],Australia,-27.4705,153.026,2008,August
Polo Jeans (feat. Earl Sweatshirt),"['Mac Miller', 'Earl Sweatshirt']",Pennsylvania,40.0,-77.0,2018,November
Bad Habit,['Steve Lacy'],California,34.0,-118.0,2017,March
Chicago Freestyle (feat. Giveon),"['Drake', 'Giveon']",Canada,43.0,-79.0,'2020','April'
Easter Sunday,"['Zelooperz', 'Earl Sweatshirt']",Michigan,42.0,-83.0,2016,August
Campbell,['redveil'],Maryland,38.0,-77.0,2019,July
Where I Belong,['Joey Bada$$'],New York,40.0,-74.0,2015,January
Hollywood Divorce (feat. Snoop Dogg & Lil' Wayne),"['Outkast', 'Snoop Dogg', 'Lil Wayne']",Georgia,33.0,-84.0,2006,April
Special Lady,['Isaiah Sharkey'],Illinois,41.0,-87.0,2017,July
"Talk About Me (feat. Kid Cudi, Denzel Curry & JID)","['Dot Da Genius', 'Kid Cudi', 'Denzel Curry', 'JID']",Ohio,41.0,82.0,2021,October
Walk It Out,"['Outkast', 'Jim Jones', 'Unk']",Georgia,-32.0,-84.0,2006,October
Dedicate,['Lil Wayne'],Louisiana,30.0,-91.0,2019,September
Cash In Cash Out,"['Pharrell Williams', '21 Savage', 'Tyler, The Creator']",Virginia,37.0,-77.0,2021,August
Him,['Big Yavo'],Finland,65.0,27.0,2021,July
Just The Same,"['Big Gigantic', 'VIC MENSA', 'Mick Jenkins']",Colorado,39.0,-105.0,2019,March
Right Above It,"['Lil Wayne', 'Drake']",Louisiana,30.0,-91.0,2010,August
Turn On The Lights,['Future'],Georgia,33.0,84.0,2012,April
President Carter,['Lil Wayne'],Louisiana,29.0,91.0,'2008','June'
6 Foot 7 Foot,"['Lil Wayne', 'Cory Gunz']",Louisiana,30.0,-91.0,2010,December
DontGetIt,['Lil Wayne'],Louisiana,30.0,-91.0,2021,June
Dr. Carter,['Lil Wayne'],Louisiana,30.0,-91.0,2008,June
Mrs. Officer,"['Lil Wayne', 'Bobby V.', 'Kidd Kidd']",Louisiana,30.0,-91.0,2008,June
Lollipop,"['Lil Wayne', 'Static Major']",Louisiana,31.0,-91.0,'2008','March'
Mr. Carter,"['Lil Wayne', 'JAY-Z']",Louisiana,30.0,-91.0,2008,June
Brown Paper Bag,['DJ Khaled'],Florida,27.0,81.0,2006,June
Running Up That Hill (A Deal With God),['Kate Bush'],England,0,0,N/A,N/A
505,['Coast Contra'],California,37.0,-120.0,2014,August
RIP,"['Casey Veggies', 'Tyler, The Creator']",California,37.0,-120.0,2013,July
pg baby,['redveil'],New Jersey,40.0,-74.0,2021,June
10 Freaky Girls (with 21 Savage),"['Metro Boomin', '21 Savage']",Georgia,33.0,84.0,2018,November
Said N Done,"['21 Savage', 'Metro Boomin']",Georgia,33.749,-84.388,2015,November
Wesley's Theory,"['Kendrick Lamar', 'George Clinton', 'Thundercat']",California,33.0,-118.0,2015,March
4r Da Squaw,['Isaiah Rashad'],Tennessee,35.0,86.0,2016,September
Drug Dealers Anonymous,"['Pusha T', 'JAY-Z']",Virginia,37.0,-77.0,2016,'May'
Purple Swag,['A$AP Rocky'],New York,40.0,-74.0,2011,October
The World Is Yours,['Nas'],New York,40.0,74.0,1994,September
Sandman,['A$AP Rocky'],New York,40.7128,-74.006,2012,January
Weight,['redveil'],New York,40.0,74.0,2021,March
Wave Gods,"['Nas', 'A$AP Rocky', 'DJ Premier']",New York,40.0,-74.0,2016,February
Aja,['Steely Dan'],New York,41.0,74.0,1977,July
Fly In,['Lil Wayne'],Louisiana,29.0,91.0,2004,December
Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer),"['Jacob Collier', 'Lizzy McAlpine', 'John Mayer']",United Kingdom,51.0,0.0,2021,October
Poetic Justice,"['Kendrick Lamar', 'Drake']",California,34.0522,118.2437,2012,October
Jumpman,"['Drake', 'Future']",Canada,43.0,-79.0,2015,September
Passionfruit,['Drake'],Canada,45.0,-75.0,2017,March
God's Plan,['Drake'],Canada,44.0,-79.0,2018,January
B.B. King Freestyle (with Drake),"['Lil Wayne', 'Drake']",Mississippi,33.0,-90.0,2009,July
Pound Cake / Paris Morton Music 2,"['Drake', 'JAY-Z']",Canada,43.0,-79.0,2013,September
pushin P (feat. Young Thug),"['Gunna', 'Future', 'Young Thug']",Georgia,33.0,83.0,2021,May
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),"['Lil Yachty', 'DaBaby', 'Drake']",Georgia,33.0,-83.0,'2020','March'
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",Ontario,43.0,-79.0,2021,March
Peace of Mind,['Boston'],Massachusetts,42.0,-71.0,1976,August
Desperado - 2013 Remaster,['Eagles'],California,0,0,N/A,N/A
Free Fallin',['Tom Petty'],Florida,27.0,81.0,1989,October
Hold On Loosely,['38 Special'],Florida,28.0,81.0,1981,August
Caught Up In You,['38 Special'],Florida,30.0,-84.0,1982,September
(Don't Fear) The Reaper,['Blue Öyster Cult'],New York,41.0,-74.0,1976,July
Mississippi Queen,['Mountain'],New York,41.0,-74.0,1970,August
Evil Woman,['Electric Light Orchestra'],England,51.0,-0.13,1975,August
Life's Been Good,['Joe Walsh'],Ohio,41.0,-82.0,1978,June
A Life of Illusion,['Joe Walsh'],Ohio,41.0,82.0,1981,'May'
Domino - 1999 Remaster,['Van Morrison'],Northern Ireland,54.7877,-6.4923,2015,April
I Got a Name - Stereo Version,['Jim Croce'],Pennsylvania,39.0,-77.0,1973,June
Give A Little Bit,['Supertramp'],England,51.0,-0.0,1977,June
New York State of Mind,['Billy Joel'],New York State,40.0,-74.0,1976,03
Long Train Runnin',['The Doobie Brothers'],California,33.0,-118.0,1973,June
What a Fool Believes,['The Doobie Brothers'],California,33.0,118.0,1979,April
Ramblin' Man,['Allman Brothers Band'],Georgia,33.0,-84.0,1973,May
Midnight Rider,['Allman Brothers Band'],Georgia,33.0,83.0,1970,November
Rikki Don't Lose That Number,['Steely Dan'],New York,42.6526,-73.7562,1974,July
Deacon Blues,['Steely Dan'],California,33.0,-118.0,1977,May
Listen to the Music,['The Doobie Brothers'],California,37.7749,-122.4194,1972,August
Into the Mystic - 2013 Remaster,['Van Morrison'],Northern Ireland,54.0,-6.0,2013,July
Days Like This,['Van Morrison'],Ireland,54.7877,6.4923,'1995','June'
Brown Eyed Girl,['Van Morrison'],Ireland,54.0,-7.0,1967,May
Peaceful Easy Feeling - 2013 Remaster,['Eagles'],California,34.0,-118.0,2013,September
Dirty Work,['Steely Dan'],New York,42.0,74.0,1973,January
